name,commit,solver,CVE,NDeps,Status,Time
cortex-cli,befbad8,maxnpm_cve_oldness,12.8,243.0,success,
cortex-cli,befbad8,maxnpm_cve_oldness_pip_else_npm,12.8,242.0,success,
jellyfish-worker,bf5984d,vanilla,,,missing,
jellyfish-worker,bf5984d,audit fix,,,missing,
jellyfish-worker,bf5984d,audit fix force,,,missing,
jellyfish-worker,bf5984d,maxnpm_cve_oldness,,,missing,
jellyfish-worker,bf5984d,maxnpm_cve_oldness_pip_else_npm,,,missing,
eslint,1ba6a92,vanilla,0.0,83.0,success,
eslint,1ba6a92,audit fix,0.0,83.0,success,
eslint,1ba6a92,audit fix force,0.0,83.0,success,
eslint,1ba6a92,maxnpm_cve_oldness,0.0,81.0,success,
eslint,1ba6a92,maxnpm_cve_oldness_pip_else_npm,0.0,81.0,success,
archiver-utils,7698d99,vanilla,44.400000000000006,20.0,success,
archiver-utils,7698d99,audit fix,44.400000000000006,20.0,success,
archiver-utils,7698d99,audit fix force,0.0,20.0,success,
archiver-utils,7698d99,maxnpm_cve_oldness,44.400000000000006,19.0,success,
archiver-utils,7698d99,maxnpm_cve_oldness_pip_else_npm,44.400000000000006,19.0,success,
material-ui,ce52570,vanilla,11.4,68.0,success,
material-ui,ce52570,audit fix,11.4,71.0,success,
material-ui,ce52570,audit fix force,0.0,54.0,success,
material-ui,ce52570,maxnpm_cve_oldness,11.4,63.0,success,
material-ui,ce52570,maxnpm_cve_oldness_pip_else_npm,11.4,63.0,success,
babel-plugin-webpack-loaders,4a3f264,vanilla,28.6,348.0,success,
babel-plugin-webpack-loaders,4a3f264,audit fix,28.6,348.0,success,
babel-plugin-webpack-loaders,4a3f264,audit fix force,0.0,169.0,success,
babel-plugin-webpack-loaders,4a3f264,maxnpm_cve_oldness,,,missing,
babel-plugin-webpack-loaders,4a3f264,maxnpm_cve_oldness_pip_else_npm,,,missing,
dashcore-lib,b7880ea,vanilla,58.900000000000006,8.0,success,
dashcore-lib,b7880ea,audit fix,58.900000000000006,8.0,success,
dashcore-lib,b7880ea,audit fix force,0.0,15.0,success,
dashcore-lib,b7880ea,maxnpm_cve_oldness,58.900000000000006,11.0,success,
dashcore-lib,b7880ea,maxnpm_cve_oldness_pip_else_npm,58.900000000000006,8.0,success,
oidc-client-js,9bc15b6,vanilla,23.15,1.0,success,
oidc-client-js,9bc15b6,audit fix,23.15,1.0,success,
oidc-client-js,9bc15b6,audit fix force,0.0,1.0,success,
oidc-client-js,9bc15b6,maxnpm_cve_oldness,23.15,1.0,success,
oidc-client-js,9bc15b6,maxnpm_cve_oldness_pip_else_npm,23.15,1.0,success,
node-client,4607f22,vanilla,0.0,239.0,success,
node-client,4607f22,audit fix,0.0,239.0,success,
node-client,4607f22,audit fix force,0.0,239.0,success,
node-client,4607f22,maxnpm_cve_oldness,0.0,220.0,success,
node-client,4607f22,maxnpm_cve_oldness_pip_else_npm,0.0,220.0,success,
bootprint-monorepo,9c3eb88,vanilla,176.7,383.0,success,
bootprint-monorepo,9c3eb88,audit fix,176.7,383.0,success,
bootprint-monorepo,9c3eb88,audit fix force,96.30000000000001,304.0,success,
bootprint-monorepo,9c3eb88,maxnpm_cve_oldness,,,missing,
bootprint-monorepo,9c3eb88,maxnpm_cve_oldness_pip_else_npm,,,missing,
bootprint-monorepo,d6399e6,vanilla,228.6,380.0,success,
bootprint-monorepo,d6399e6,audit fix,228.6,380.0,success,
bootprint-monorepo,d6399e6,audit fix force,7.5,293.0,success,
bootprint-monorepo,d6399e6,maxnpm_cve_oldness,,,missing,
bootprint-monorepo,d6399e6,maxnpm_cve_oldness_pip_else_npm,,,missing,
node-browserify,c149a3c,vanilla,7.95,21.0,success,
node-browserify,c149a3c,audit fix,7.95,21.0,success,
node-browserify,c149a3c,audit fix force,0.0,25.0,success,
node-browserify,c149a3c,maxnpm_cve_oldness,7.95,17.0,success,
node-browserify,c149a3c,maxnpm_cve_oldness_pip_else_npm,7.95,17.0,success,
loopback,6f04b61,vanilla,19.6,320.0,success,
loopback,6f04b61,audit fix,19.6,320.0,success,
loopback,6f04b61,audit fix force,0.0,316.0,success,
loopback,6f04b61,maxnpm_cve_oldness,,,missing,
loopback,6f04b61,maxnpm_cve_oldness_pip_else_npm,,,missing,
karma-typescript,e645940,vanilla,24.1,266.0,success,
karma-typescript,e645940,audit fix,24.1,266.0,success,
karma-typescript,e645940,audit fix force,7.5,232.0,success,
karma-typescript,e645940,maxnpm_cve_oldness,,,missing,
karma-typescript,e645940,maxnpm_cve_oldness_pip_else_npm,,,missing,
stylelint,e124033,vanilla,0.0,274.0,success,
stylelint,e124033,audit fix,0.0,274.0,success,
stylelint,e124033,audit fix force,0.0,274.0,success,
stylelint,e124033,maxnpm_cve_oldness,,,missing,
stylelint,e124033,maxnpm_cve_oldness_pip_else_npm,,,missing,
bit,385cdf3,vanilla,78.6,774.0,success,
bit,385cdf3,audit fix,78.6,774.0,success,
bit,385cdf3,audit fix force,415.09999999999997,920.0,success,
bit,385cdf3,maxnpm_cve_oldness,,,missing,
bit,385cdf3,maxnpm_cve_oldness_pip_else_npm,,,missing,
storybook-ui,f9618ba,vanilla,0.0,66.0,success,
storybook-ui,f9618ba,audit fix,0.0,66.0,success,
storybook-ui,f9618ba,audit fix force,0.0,66.0,success,
storybook-ui,f9618ba,maxnpm_cve_oldness,,,missing,
