Package,Oldness
object.getownpropertydescriptors,0.010661335998667332
@babel_parser,0
base64-js,0
is-ci,0.0
color,0.004901960784313725
doctrine,0.0
follow-redirects,0
postcss-modules-local-by-default,0.004347826086956522
lru-cache,0.0
@webassemblyjs_helper-code-frame,0.0
domain-browser,0
forwarded,0
cli-cursor,0.12797619047619047
symbol-observable,0
isarray,0
string-length,0.0
@jest_types,0.07121481274136023
end-of-stream,0.0
regjsparser,0.7619047619047619
collection-visit,0.025
@babel_plugin-transform-reserved-words,0.0
@babel_plugin-syntax-export-namespace-from,0.0
micromatch,0.0
@babel_plugin-transform-new-target,0.0
@babel_plugin-proposal-private-methods,0.07131574523156681
convert-source-map,0.2
strip-final-newline,0
map-visit,0.05
regjsgen,0
regenerate-unicode-properties,0.0
@babel_helper-remap-async-to-generator,0.08320170277016127
caseless,0
union-value,0.16608695652173913
eslint,0
webpack-sources,0
has-ansi,0.0
detect-newline,0
clean-stack,0.0
lodash.debounce,0
lodash.sortby,0
parse-asn1,0.009686609686609686
which,0.0
is-windows,0
webpack,0
util.promisify,0.009808429118773944
buffer,0.0
pseudomap,0
lodash.merge,0
emoji-regex,0
jest-jasmine2,0
on-finished,0.0
os-locale,0.16666666666666666
wide-align,0.5376984126984127
http-parser-js,0
@webassemblyjs_ast,0.0
run-async,0
pascalcase,0
