name,commit,solver,CVE,NDeps,Status,Time
grunt-release,058885f,maxnpm_cve_oldness,0.0,54.0,success,
grunt-release,058885f,maxnpm_cve_oldness_pip_else_npm,32.95,25.0,success,
miniprogram-simulate,1844e50,vanilla,0.0,29.0,success,
miniprogram-simulate,1844e50,audit fix,0.0,29.0,success,
miniprogram-simulate,1844e50,audit fix force,0.0,29.0,success,
miniprogram-simulate,1844e50,maxnpm_cve_oldness,,,missing,
miniprogram-simulate,1844e50,maxnpm_cve_oldness_pip_else_npm,,,missing,
last-release-git,3338d94,vanilla,0.0,1.0,success,
last-release-git,3338d94,audit fix,0.0,1.0,success,
last-release-git,3338d94,audit fix force,0.0,1.0,success,
last-release-git,3338d94,maxnpm_cve_oldness,0.0,1.0,success,
last-release-git,3338d94,maxnpm_cve_oldness_pip_else_npm,0.0,1.0,success,
node-newrelic,1c1081d,vanilla,9.1,21.0,success,
node-newrelic,1c1081d,audit fix,9.1,21.0,success,
node-newrelic,1c1081d,audit fix force,0.0,22.0,success,
node-newrelic,1c1081d,maxnpm_cve_oldness,0.0,19.0,success,
node-newrelic,1c1081d,maxnpm_cve_oldness_pip_else_npm,9.1,20.0,success,
umi-webpack-bundle-analyzer,2a53af3,vanilla,9.8,75.0,success,
umi-webpack-bundle-analyzer,2a53af3,audit fix,9.8,75.0,success,
umi-webpack-bundle-analyzer,2a53af3,audit fix force,0.0,90.0,success,
umi-webpack-bundle-analyzer,2a53af3,maxnpm_cve_oldness,0.0,89.0,success,
umi-webpack-bundle-analyzer,2a53af3,maxnpm_cve_oldness_pip_else_npm,9.8,65.0,success,
postcss-responsive-type,7cde196,vanilla,5.3,13.0,success,
postcss-responsive-type,7cde196,audit fix,5.3,13.0,success,
postcss-responsive-type,7cde196,audit fix force,0.0,5.0,success,
postcss-responsive-type,7cde196,maxnpm_cve_oldness,0.0,5.0,success,
postcss-responsive-type,7cde196,maxnpm_cve_oldness_pip_else_npm,5.3,6.0,success,
egg-bin,b6592e5,vanilla,345.6500000000001,868.0,success,
egg-bin,b6592e5,audit fix,345.6500000000001,854.0,success,
egg-bin,b6592e5,audit fix force,292.00000000000006,854.0,success,
egg-bin,b6592e5,maxnpm_cve_oldness,,,missing,
egg-bin,b6592e5,maxnpm_cve_oldness_pip_else_npm,,,missing,
xen-orchestra,64cbe3d,vanilla,,,missing,
xen-orchestra,64cbe3d,audit fix,,,missing,
xen-orchestra,64cbe3d,audit fix force,,,missing,
xen-orchestra,64cbe3d,maxnpm_cve_oldness,,,missing,
xen-orchestra,64cbe3d,maxnpm_cve_oldness_pip_else_npm,,,missing,
curl-generator,194acbb,vanilla,0.0,1.0,success,
curl-generator,194acbb,audit fix,0.0,1.0,success,
curl-generator,194acbb,audit fix force,0.0,1.0,success,
curl-generator,194acbb,maxnpm_cve_oldness,0.0,1.0,success,
curl-generator,194acbb,maxnpm_cve_oldness_pip_else_npm,0.0,1.0,success,
postcss-conditionals,52af192,vanilla,,,missing,
postcss-conditionals,52af192,audit fix,,,missing,
postcss-conditionals,52af192,audit fix force,,,missing,
postcss-conditionals,52af192,maxnpm_cve_oldness,,,missing,
postcss-conditionals,52af192,maxnpm_cve_oldness_pip_else_npm,5.3,12.0,success,
postcss-cssnext,1c2dc2e,vanilla,47.699999999999996,96.0,success,
postcss-cssnext,1c2dc2e,audit fix,47.699999999999996,96.0,success,
postcss-cssnext,1c2dc2e,audit fix force,37.1,123.0,success,
postcss-cssnext,1c2dc2e,maxnpm_cve_oldness,,,missing,
postcss-cssnext,1c2dc2e,maxnpm_cve_oldness_pip_else_npm,17.9,67.0,success,
easy-scripts,1499a9f,vanilla,245.45000000000002,2125.0,success,
easy-scripts,1499a9f,audit fix,245.45000000000002,2120.0,success,
easy-scripts,1499a9f,audit fix force,19.45,2256.0,success,
easy-scripts,1499a9f,maxnpm_cve_oldness,,,missing,
easy-scripts,1499a9f,maxnpm_cve_oldness_pip_else_npm,,,missing,
api-javascript,0ad3124,vanilla,50.050000000000004,104.0,success,
api-javascript,0ad3124,audit fix,50.050000000000004,104.0,success,
api-javascript,0ad3124,audit fix force,30.3,240.0,success,
api-javascript,0ad3124,maxnpm_cve_oldness,30.3,176.0,success,
api-javascript,0ad3124,maxnpm_cve_oldness_pip_else_npm,,,missing,
codsen,6b75b97,vanilla,0.0,0.0,success,
