Package,Oldness
@babel_helper-wrap-function,0.13652657813684502
global-dirs,0.05263157894736842
pify,0
walker,0.0
@webassemblyjs_helper-module-context,0.049677219430616315
unbox-primitive,0.0
minimatch,0.06944444444444443
run-parallel,0.0
jsonfile,0.0
utils-merge,0
duplexer3,0
wrappy,0
acorn-globals,0.2934523809523809
symbol-tree,0
eslint-utils,0.4
require-from-string,0
sax,0
arr-union,0
next-tick,0
websocket-driver,0.012345679012345678
icss-utils,0
is-boolean-object,0.0
object-assign,0
@babel_plugin-proposal-nullish-coalescing-operator,0.0
tr46,0.0
fast-json-stable-stringify,0
readdirp,0.0
parallel-transform,0.14159384103204328
acorn-walk,0
@babel_compat-data,0
path-browserify,0
@babel_helper-module-transforms,0.11450616230832161
mime-types,0.04918032786885246
node-modules-regexp,0
figures,0.0
fs-write-stream-atomic,0.2053370786516854
commander,0
eslint-visitor-keys,0
to-regex,0.21538461538461537
supports-color,0.0
require-directory,0
is-regex,0.0
async,0
slice-ansi,0.0
accepts,0.013333333333333334
@babel_plugin-syntax-json-strings,0.0
content-type,0
isobject,0
camel-case,0.0
globby,0.017391304347826087
@babel_helper-explode-assignable-expression,0.14285714285714285
pirates,0.0
@webassemblyjs_wast-parser,0.0
through2,0.0
babel-runtime,0.3814353730351201
vm-browserify,0
onetime,0.0
@babel_plugin-syntax-jsx,0.0
clone-deep,0.15
p-each-series,0
@babel_helper-plugin-utils,0
diff-sequences,0
prettier,0
ecc-jsbn,0.3333333333333333
is-obj,0
@xtuc_ieee754,0
whatwg-encoding,0.0
array-uniq,0
regexp.prototype.flags,0.0
safer-buffer,0
@jest_source-map,0.07287157287157287
toidentifier,0
stack-utils,0.3333333333333333
is-bigint,0.0
setimmediate,0
oauth-sign,0
upath,0
@babel_plugin-transform-async-to-generator,0.11450616230832163
parseurl,0
use,0
node-releases,0
semver,0.20348837209302326
big.js,0
camelcase-keys,0.22841394716394717
postcss-modules-scope,0.006802721088435374
@webassemblyjs_floating-point-hex-parser,0
iconv-lite,0.0
is-negative-zero,0
moment,0
safe-buffer,0
regex-not,0.31428571428571433
enquirer,0.0
reusify,0
optionator,0.008771929824561403
@sinonjs_fake-timers,0.0
json-stable-stringify-without-jsonify,0
mimic-fn,0
finalhandler,0.1256516430429474
quick-lru,0
queue-microtask,0
html-escaper,0
@webassemblyjs_wasm-gen,0.0
asap,0
get-stream,0
querystring-es3,0
acorn-jsx,0
aws4,0
process-nextick-args,0
query-string,0.3875
verror,0.1111111111111111
clone,0
unicode-match-property-ecmascript,0.0
anymatch,0.0
is-string,0.0
browserslist,0.1164941093000091
debug,0.2608695652173913
is-binary-path,0.0
filesize,0
is-descriptor,0
nanoid,0
console-browserify,0
from2,0.15929307116104868
log-symbols,0.12887336093857832
object.entries,0.0005376344086021505
cross-spawn,0.1
arr-flatten,0
gensync,0
caniuse-lite,0
node-forge,0
repeat-string,0
is-typedarray,0
is-plain-obj,0
@babel_helper-function-name,0.1760312163814801
interpret,0
@babel_helper-annotate-as-pure,0.14285714285714285
path-exists,0
array.prototype.flat,0.0005376344086021505
on-headers,0
sprintf-js,0
@babel_plugin-transform-property-literals,0.0
is-plain-object,0
@babel_plugin-transform-shorthand-properties,0.0
randomfill,0.0
@webassemblyjs_helper-buffer,0
is-docker,0
stream-shift,0
lodash.memoize,0
locate-path,0.0
atob,0
sane,0.09383394383394383
map-cache,0
universalify,0
@babel_plugin-proposal-optional-chaining,0.07142857142857142
destroy,0
strict-uri-encode,0
@webassemblyjs_ieee754,0.0
object.values,0.0005376344086021505
domexception,0.2
diff,0
error-ex,0.5
fast-deep-equal,0
enhanced-resolve,0.0
nwsapi,0
bluebird,0
deep-is,0
@istanbuljs_schema,0
style-loader,0
statuses,0
watchpack,0.0
axios,0.0
validate-npm-package-license,0.0
has-symbols,0
is-path-cwd,0
string_decoder,0.0
argparse,0
csstype,0
mime-db,0
yocto-queue,0
kind-of,0
yaml,0
miller-rabin,0.02564102564102564
is-path-in-cwd,0.0
